Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
위험물기능사,2008,5,위험물의 화학적 성질 및 취급,35,다음 중 제3류 위험물의 품명이 아닌것은?,text_only,o,금속의 수소화물,유기금속화합물,황린,금속분,4,14,GPT-4o,300,8,0,57.14,14.08,0.97,79,1,80,중간,0.000208,3,False,3,"문제: 다음 중 제3류 위험물의 품명이 아닌것은?

선택지:
1. 금속의 수소화물
2. 유기금속화합물
3. 황린
4. 금속분

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2015,4,화재 예방과 소화방법,17,혼합물인 위험물이 복수의 성상을 가지는 경우에 적용하는 품명에 관한 설명으로 틀린 것은?,text_only,o,산화성고체의 성상 및 가연성고체의 성상을 가지는 경우 : 산화성고체의 품명,산화성고체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명,가연성고체의 성상과 자연발화성 물질의 성상 및 금수성물질의 성상을 가지는 경우 : 자연발화성물질 및 금수성물질의 품명,인화성액체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명,1,15,GPT-4o,300,8,0,53.33,14.72,0.65,211,1,212,중간,0.000538,3,False,3,"문제: 혼합물인 위험물이 복수의 성상을 가지는 경우에 적용하는 품명에 관한 설명으로 틀린 것은?

선택지:
1. 산화성고체의 성상 및 가연성고체의 성상을 가지는 경우 : 산화성고체의 품명
2. 산화성고체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명
3. 가연성고체의 성상과 자연발화성 물질의 성상 및 금수성물질의 성상을 가지는 경우 : 자연발화성물질 및 금수성물질의 품명
4. 인화성액체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2015,5,위험물의 화학적 성질 및 취급,36,위험물안전관리법령에서 정한 주유취급소의 고정주유설비 주위에 보유하여야 하는 주유공지의 기준은?,text_only,o,너비 10m 이상 길이 6m 이상,너비 15m 이상 길이 6m 이상,너비 10m 이상 길이 10m 이상,너비 15m 이상 길이 10m 이상,2,16,GPT-4o,300,8,0,50.0,15.42,0.7,131,1,132,중간,0.000338,1,False,1,"문제: 위험물안전관리법령에서 정한 주유취급소의 고정주유설비 주위에 보유하여야 하는 주유공지의 기준은?

선택지:
1. 너비 10m 이상 길이 6m 이상
2. 너비 15m 이상 길이 6m 이상
3. 너비 10m 이상 길이 10m 이상
4. 너비 15m 이상 길이 10m 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2014,5,화재 예방과 소화방법,17,BCF(Bromochlorodifluoromethane) 소화약제의 화학식으로 옳은 것은?,text_only,,CCl$_4$,CH$_2$ClBr,CF$_3$Br,CF$_2$ClBr,4,17,GPT-4o,300,9,0,52.94,16.28,0.86,95,1,96,중간,0.000247,4,True,4,"문제: BCF(Bromochlorodifluoromethane) 소화약제의 화학식으로 옳은 것은?

선택지:
1. CCl$_4$
2. CH$_2$ClBr
3. CF$_3$Br
4. CF$_2$ClBr

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2007,4,위험물의 화학적 성질 및 취급,53,다음 중 제5류 위험물 품명에 속하지 않는 것은?,text_only,o,질산에스테르류,디아조화합물,아크릴로니트릴류,니트로화합물,3,18,GPT-4o,300,10,0,55.56,16.84,0.55,88,1,89,중간,0.00023,3,True,3,"문제: 다음 중 제5류 위험물 품명에 속하지 않는 것은?

선택지:
1. 질산에스테르류
2. 디아조화합물
3. 아크릴로니트릴류
4. 니트로화합물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2015,2,위험물의 화학적 성질 및 취급,48,휘발유의 일반적인 성질에 관한 설명으로 틀린 것은?,text_only,,인화점이 0℃보다 낮다.,위험물안전관리법령상 제1석유류에 해당한다.,전기에 대해 비전도성 물질이다.,순수한 것은 청색이나 안전을 위해 검은색으로 착색해서 사용해야 한다.,4,19,GPT-4o,300,11,0,57.89,17.43,0.59,120,1,121,중간,0.00031,4,True,4,"문제: 휘발유의 일반적인 성질에 관한 설명으로 틀린 것은?

선택지:
1. 인화점이 0℃보다 낮다.
2. 위험물안전관리법령상 제1석유류에 해당한다.
3. 전기에 대해 비전도성 물질이다.
4. 순수한 것은 청색이나 안전을 위해 검은색으로 착색해서 사용해야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2003,2,위험물의 화학적 성질 및 취급,22,"염소산칼륨과 혼합했을 때 발화, 폭발의 위험이 있는 물질은?",text_only,,금,유리,석면,목탄,4,20,GPT-4o,300,12,0,60.0,17.98,0.55,80,1,81,중간,0.00021,4,True,4,"문제: 염소산칼륨과 혼합했을 때 발화, 폭발의 위험이 있는 물질은?

선택지:
1. 금
2. 유리
3. 석면
4. 목탄

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2009,2,위험물의 화학적 성질 및 취급,30,물에 의한 냉각소화가 가능한 것은?,text_only,,유황,철분,부틸리튬,마그네슘,1,21,GPT-4o,300,12,0,57.14,19.19,1.21,74,1,75,중간,0.000195,2,False,2,"문제: 물에 의한 냉각소화가 가능한 것은?

선택지:
1. 유황
2. 철분
3. 부틸리튬
4. 마그네슘

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2008,5,화재 예방과 소화방법,20,물질의 일반적인 연소형태에 대한 설명으로 틀린 것은?,text_only,,파라핀의 연소는 표면연소이다,산소공급원을 가진 물질이 연소하는 것을 자기연소라고 한다,목재의 연소는 분해연소이다,공기와 접촉하는 표면에서 연소가 일어나는 것을 표면연소라고 한다,1,22,GPT-4o,300,13,0,59.09,19.83,0.63,127,1,128,중간,0.000328,1,True,1,"문제: 물질의 일반적인 연소형태에 대한 설명으로 틀린 것은?

선택지:
1. 파라핀의 연소는 표면연소이다
2. 산소공급원을 가진 물질이 연소하는 것을 자기연소라고 한다
3. 목재의 연소는 분해연소이다
4. 공기와 접촉하는 표면에서 연소가 일어나는 것을 표면연소라고 한다

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2009,5,화재 예방과 소화방법,8,고정식의 포소화설비의 기준에서 포헤드방식의 포헤드는 방호대상물의 표면적 몇 m$^2$ 당 1개 이상의 헤드를 설치하여야 하는가?,text_only,o,3,9,15,30,2,23,GPT-4o,300,14,0,60.87,20.38,0.55,103,1,104,중간,0.000267,2,True,2,"문제: 고정식의 포소화설비의 기준에서 포헤드방식의 포헤드는 방호대상물의 표면적 몇 m$^2$ 당 1개 이상의 헤드를 설치하여야 하는가?

선택지:
1. 3
2. 9
3. 15
4. 30

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2008,1,화재 예방과 소화방법,5,위험물의 운반용기 및 적재방법에 대한 기준으로 틀린 것은?,text_only,o,운반용기의 재질은 나무도 된다.,고체위험물은 운반용기 내용적의 90% 이하의 수납율로 수납한다.,액체위험물은 운반용기 내용적의 98% 이하의 수납율로 수납하되 55°C 의 온도에서 누설되지 아니하도록 충분한 공간용적을 유지한다.,알킬알루미늄은 운반용기 내용적의 90% 이하의 수납율로 수납하되 50°C 의 온도에서 5% 이상의 공간 용적을 유지하도록 한다.,2,24,GPT-4o,300,14,0,58.33,21.02,0.65,194,1,195,중간,0.000495,1,False,1,"문제: 위험물의 운반용기 및 적재방법에 대한 기준으로 틀린 것은?

선택지:
1. 운반용기의 재질은 나무도 된다.
2. 고체위험물은 운반용기 내용적의 90% 이하의 수납율로 수납한다.
3. 액체위험물은 운반용기 내용적의 98% 이하의 수납율로 수납하되 55°C 의 온도에서 누설되지 아니하도록 충분한 공간용적을 유지한다.
4. 알킬알루미늄은 운반용기 내용적의 90% 이하의 수납율로 수납하되 50°C 의 온도에서 5% 이상의 공간 용적을 유지하도록 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2013,2,위험물의 화학적 성질 및 취급,55,염소산나트륨의 성상에 대한 설명으로 옳지 않은 것은?,text_only,,자신은 불연성 물질이지만 강한 산화제이다.,유리를 녹이므로 철제 용기에 저장한다.,열분해 하여 산소를 발생한다.,산과 반응하면 유독성의 이산화염소를 발생한다.,2,25,GPT-4o,300,15,0,60.0,21.98,0.95,121,1,122,중간,0.000313,2,True,2,"문제: 염소산나트륨의 성상에 대한 설명으로 옳지 않은 것은?

선택지:
1. 자신은 불연성 물질이지만 강한 산화제이다.
2. 유리를 녹이므로 철제 용기에 저장한다.
3. 열분해 하여 산소를 발생한다.
4. 산과 반응하면 유독성의 이산화염소를 발생한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2015,4,위험물의 화학적 성질 및 취급,21,황의 성상에 관한 설명으로 틀린 것은?,text_only,,연소할 때 발생하는 가스는 냄새를 가지고 있으나 인체에 무해하다.,미분이 공기 중에 떠 있을때 분진 폭발의 우려가 있다.,용융된 황을 물에서 급냉하면 고무 상황을 얻을 수 있다.,연소할 때 아황산가스를 발생한다.,1,26,GPT-4o,300,16,0,61.54,22.44,0.47,130,1,131,중간,0.000335,1,True,1,"문제: 황의 성상에 관한 설명으로 틀린 것은?

선택지:
1. 연소할 때 발생하는 가스는 냄새를 가지고 있으나 인체에 무해하다.
2. 미분이 공기 중에 떠 있을때 분진 폭발의 우려가 있다.
3. 용융된 황을 물에서 급냉하면 고무 상황을 얻을 수 있다.
4. 연소할 때 아황산가스를 발생한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2004,3,화재 예방과 소화방법,2,다음 소화효과에 대한 설명으로 옳지 않은 것은?,text_only,,산소공급차단에 의한 소화는 제거효과이다.,물에 의한 소화는 냉각효과이다.,가연물을 제거하는 효과는 제거효과이다.,소화분말에 의한 효과는 분말의 가열분해에 의한 질식 및 억제 냉각의 상승효과이다.,1,27,GPT-4o,300,16,0,59.26,22.88,0.43,134,1,135,중간,0.000345,4,False,4,"문제: 다음 소화효과에 대한 설명으로 옳지 않은 것은?

선택지:
1. 산소공급차단에 의한 소화는 제거효과이다.
2. 물에 의한 소화는 냉각효과이다.
3. 가연물을 제거하는 효과는 제거효과이다.
4. 소화분말에 의한 효과는 분말의 가열분해에 의한 질식 및 억제 냉각의 상승효과이다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2002,4,위험물의 화학적 성질 및 취급,53,"아래 보기와 같은 특수가연물에 해당되는 것은?\n\n· 가연성이 크다.\n· 비중 0.91~0.96\n· 녹는점 106~115℃\n· 끓는점 250℃ 이상\n· 상온에서 무색 또는 엷은 황색의 고체\n· 공업용, 의약용 정제, 화장품 제조등에 사용된다.",option_image,,면화류,합성수지,1종 가연물,2종 가연물,4,28,GPT-4o,300,16,0,57.14,23.52,0.64,158,1,159,중간,0.000405,2,False,2,"문제: 아래 보기와 같은 특수가연물에 해당되는 것은?\n\n· 가연성이 크다.\n· 비중 0.91~0.96\n· 녹는점 106~115℃\n· 끓는점 250℃ 이상\n· 상온에서 무색 또는 엷은 황색의 고체\n· 공업용, 의약용 정제, 화장품 제조등에 사용된다.

선택지:
1. 면화류
2. 합성수지
3. 1종 가연물
4. 2종 가연물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2005,2,위험물의 화학적 성질 및 취급,22,다음 금속 중 진한질산에 의하여 부동태가 되는 금속은?,text_only,,Fe,Sb,Zn,Mg,1,29,GPT-4o,300,17,0,58.62,24.06,0.53,70,1,71,중간,0.000185,1,True,1,"문제: 다음 금속 중 진한질산에 의하여 부동태가 되는 금속은?

선택지:
1. Fe
2. Sb
3. Zn
4. Mg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2016,1,화재 예방과 소화방법,20,위험물안전관리법령상 위험물옥외탱크저장소에 방화에 관하여 필요한 사항을 게시한 게시판에 기재하여야 하는 내용이 아닌 것은?,text_only,o,위험물의 지정수량의 배수,위험물의 저장최대수량,위험물의 품명,위험물의 성질,4,30,GPT-4o,300,17,0,56.67,24.63,0.57,115,1,116,중간,0.000298,2,False,2,"문제: 위험물안전관리법령상 위험물옥외탱크저장소에 방화에 관하여 필요한 사항을 게시한 게시판에 기재하여야 하는 내용이 아닌 것은?

선택지:
1. 위험물의 지정수량의 배수
2. 위험물의 저장최대수량
3. 위험물의 품명
4. 위험물의 성질

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2009,5,위험물의 화학적 성질 및 취급,42,알루미늄의 성질에 대한 설명 중 틀린 것은?,text_only,,묽은 질산보다는 진한 질산에 훨씬 잘 녹는다.,"열전도율, 전기전도도가 크다.",할로겐 원소와의 접촉은 위험하다.,실온의 공기 중에서 표면에 치밀한 산화피막이 형성되어 내부를 보호하므로 부식성이 적다.,1,31,GPT-4o,300,18,0,58.06,25.27,0.64,138,1,139,중간,0.000355,1,True,1,"문제: 알루미늄의 성질에 대한 설명 중 틀린 것은?

선택지:
1. 묽은 질산보다는 진한 질산에 훨씬 잘 녹는다.
2. 열전도율, 전기전도도가 크다.
3. 할로겐 원소와의 접촉은 위험하다.
4. 실온의 공기 중에서 표면에 치밀한 산화피막이 형성되어 내부를 보호하므로 부식성이 적다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2002,2,위험물의 화학적 성질 및 취급,59,위험물 저장탱크의 밸브를 놋쇠(황동)로 하는 이유로 적절한 것은?,text_only,,제작시에 발생되는 경제적 손실을 줄이기 위해,밸브의 제작이 용이하므로,열전도도가 좋기 때문에,저장 위험물과의 반응을 막기 위해,4,32,GPT-4o,300,19,0,59.38,26.59,1.32,115,1,116,중간,0.000298,4,True,4,"문제: 위험물 저장탱크의 밸브를 놋쇠(황동)로 하는 이유로 적절한 것은?

선택지:
1. 제작시에 발생되는 경제적 손실을 줄이기 위해
2. 밸브의 제작이 용이하므로
3. 열전도도가 좋기 때문에
4. 저장 위험물과의 반응을 막기 위해

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2005,1,위험물의 화학적 성질 및 취급,45,다음 물질 중 황색염료와 산업용도폭선의 심약으로 사용되는 것으로 페놀에 진한황산을 녹이고 이것을 질산에 작용시켜 생성되는 것은?,text_only,,트리니트로페놀,질산에틸,니트로셀룰로오스,트리니트로페놀니트로아민,1,33,GPT-4o,300,20,0,60.61,27.42,0.83,124,1,125,중간,0.00032,1,True,1,"문제: 다음 물질 중 황색염료와 산업용도폭선의 심약으로 사용되는 것으로 페놀에 진한황산을 녹이고 이것을 질산에 작용시켜 생성되는 것은?

선택지:
1. 트리니트로페놀
2. 질산에틸
3. 니트로셀룰로오스
4. 트리니트로페놀니트로아민

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2006,3,화재 예방과 소화방법,4,다음 중 연소에 필요한 산소의 공급원을 단절하는 것은?,text_only,,제거작용,질식작용,희석작용,억제작용,2,34,GPT-4o,300,21,0,61.76,28.0,0.58,78,1,79,중간,0.000205,2,True,2,"문제: 다음 중 연소에 필요한 산소의 공급원을 단절하는 것은?

선택지:
1. 제거작용
2. 질식작용
3. 희석작용
4. 억제작용

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2012,1,화재 예방과 소화방법,11,물질의 발화온도가 낮아지는 경우는?,text_only,,발열량이 작을 때,산소의 농도가 작을 때,화학적 활성도가 클 때,산소와 친화력이 작을 때,3,35,GPT-4o,300,22,0,62.86,28.64,0.64,90,1,91,중간,0.000235,3,True,3,"문제: 물질의 발화온도가 낮아지는 경우는?

선택지:
1. 발열량이 작을 때
2. 산소의 농도가 작을 때
3. 화학적 활성도가 클 때
4. 산소와 친화력이 작을 때

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2001,3,화재 예방과 소화방법,18,다음 중 누전 경보기의 수신기를 설치할 수 없는 장소들로 모두 짝지워 놓은 것은?\n\n㉠ 온도의 변화가 급격한 장소\n㉡ 습도가 높거나 물기가 많은 장소\n㉢ 부식성의 증기나 가스가 다량으로 체류하는 장소\n㉣ 일산화탄소가 많은 장소\n㉤ 사람이 항상 근무하는 장소,option_image,o,"㉠, ㉡","㉠, ㉡, ㉢","㉠, ㉡, ㉢, ㉣","㉠, ㉡, ㉢, ㉣, ㉤",3,36,GPT-4o,300,23,0,63.89,29.26,0.62,208,1,209,중간,0.00053,3,True,3,"문제: 다음 중 누전 경보기의 수신기를 설치할 수 없는 장소들로 모두 짝지워 놓은 것은?\n\n㉠ 온도의 변화가 급격한 장소\n㉡ 습도가 높거나 물기가 많은 장소\n㉢ 부식성의 증기나 가스가 다량으로 체류하는 장소\n㉣ 일산화탄소가 많은 장소\n㉤ 사람이 항상 근무하는 장소

선택지:
1. ㉠, ㉡
2. ㉠, ㉡, ㉢
3. ㉠, ㉡, ㉢, ㉣
4. ㉠, ㉡, ㉢, ㉣, ㉤

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2002,1,화재 예방과 소화방법,15,다음 연소의 난이성을 설명한 것으로 틀린 것은?,text_only,,산화되기 쉬운 것일수록 타기 쉽다.,산소와의 접촉면적이 큰 것일수록 타기 쉽다.,발열량이 큰 것일수록 타기 쉽다.,열전도율이 큰 것일수록 타기 쉽다.,4,37,GPT-4o,300,24,0,64.86,30.41,1.15,120,1,121,중간,0.00031,4,True,4,"문제: 다음 연소의 난이성을 설명한 것으로 틀린 것은?

선택지:
1. 산화되기 쉬운 것일수록 타기 쉽다.
2. 산소와의 접촉면적이 큰 것일수록 타기 쉽다.
3. 발열량이 큰 것일수록 타기 쉽다.
4. 열전도율이 큰 것일수록 타기 쉽다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2003,1,화재 예방과 소화방법,6,다음 중 열 전도도가 가장 적은 것은?,text_only,,얼음,석면,콘크리트,석회석,2,38,GPT-4o,300,25,0,65.79,31.21,0.8,70,1,71,중간,0.000185,2,True,2,"문제: 다음 중 열 전도도가 가장 적은 것은?

선택지:
1. 얼음
2. 석면
3. 콘크리트
4. 석회석

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
위험물기능사,2012,5,화재 예방과 소화방법,9,위험물안전관리법령상 탄산수소염류의 분말소화기가 적응성을 갖는 위험물이 아닌 것은?,text_only,o,과염소산,철분,톨루엔,아세톤,1,39,GPT-4o,300,25,0,64.1,31.96,0.75,89,1,90,중간,0.000232,3,False,3,"문제: 위험물안전관리법령상 탄산수소염류의 분말소화기가 적응성을 갖는 위험물이 아닌 것은?

선택지:
1. 과염소산
2. 철분
3. 톨루엔
4. 아세톤

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
