Test Name,Year,Session,Subject,Number,Question,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트,Question_image,Law,무작위값
소방설비기사(기계분야),2004,2,소방유체역학,27,직경 20 cm 의 소화용 호스에 물이 392 N/s 로 흐른다. 이때의 평균유속은 몇 m/s 인가?,2.96,4.34,3.68,1.27,4,11,GPT-4o Mini,300,1,0,9.09,8.92,1.03,98,1,99,매우 낮음,1.5e-05,3,False,3,"문제: 직경 20 cm 의 소화용 호스에 물이 392 N/s 로 흐른다. 이때의 평균유속은 몇 m/s 인가?

선택지:
1. 2.96
2. 4.34
3. 3.68
4. 1.27

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.362349965
소방설비기사(기계분야),2011,4,소방기계시설의 구조 및 원리,76,개방형 헤드를 사용하는 연결살수설비에서 하나의 송수구역에 설치하는 살수헤드의 수는 몇 개인가?,10개 이하,15개 이하,20개 이하,30개 이하,1,12,GPT-4o Mini,300,1,0,8.33,9.63,0.7,94,1,95,매우 낮음,1.5e-05,3,False,3,"문제: 개방형 헤드를 사용하는 연결살수설비에서 하나의 송수구역에 설치하는 살수헤드의 수는 몇 개인가?

선택지:
1. 10개 이하
2. 15개 이하
3. 20개 이하
4. 30개 이하

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.0750592
소방설비기사(기계분야),2009,1,소방기계시설의 구조 및 원리,64,통신기기실에 비치하는 소화기로 가장 적합한 것은?,포 소화기,이산화탄소 소화기,강화액 소화기,산·알칼리 소화기,2,13,GPT-4o Mini,300,2,0,15.38,10.31,0.68,89,1,90,매우 낮음,1.4e-05,2,True,2,"문제: 통신기기실에 비치하는 소화기로 가장 적합한 것은?

선택지:
1. 포 소화기
2. 이산화탄소 소화기
3. 강화액 소화기
4. 산·알칼리 소화기

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.785172787
소방설비기사_기계분야,2021,2,소방기계시설의 구조 및 원리,73,특별피난계단의 계단실 및 부속실 제연설비의 화재안전기준상 차압 등에 관한 기준 중 다음 괄호 안에 알맞은 것은?,12.5,40,70,110,4,14,GPT-4o Mini,300,2,0,14.29,10.95,0.64,98,1,99,매우 낮음,1.5e-05,3,False,3,"문제: 특별피난계단의 계단실 및 부속실 제연설비의 화재안전기준상 차압 등에 관한 기준 중 다음 괄호 안에 알맞은 것은?

선택지:
1. 12.5
2. 40
3. 70
4. 110

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",O,,0.196241154
소방설비기사(기계분야),2003,1,소방기계시설의 구조 및 원리,62,상수도 소화용수설비의 소화전을 접속하는 최소 수도배관의 호칭지름은 몇 밀리미터 이상인가?,65,75,80,100,2,15,GPT-4o Mini,300,2,0,13.33,11.59,0.64,88,1,89,매우 낮음,1.4e-05,3,False,3,"문제: 상수도 소화용수설비의 소화전을 접속하는 최소 수도배관의 호칭지름은 몇 밀리미터 이상인가?

선택지:
1. 65
2. 75
3. 80
4. 100

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.230457726
소방설비기사(기계분야),2022,1,소방유체역학,33,펌프와 관련된 용어의 설명으로 옳은 것은?,캐비테이션 : 송출압력과 송출유량이 주기적으로 변하는 현상,서징 : 액체가 포화 증기압 이하에서 비등하여 기포가 발생하는 현상,수격작용 : 관을 흐르던 물이 갑자기 정지할 때 압력파에 의해 이상음(異常音)이 발생하는 현상,NPSH : 펌프에서 상사법칙을 나타내기 위한 비속도,3,16,GPT-4o Mini,300,3,0,18.75,12.16,0.57,162,1,163,매우 낮음,2.5e-05,3,True,3,"문제: 펌프와 관련된 용어의 설명으로 옳은 것은?

선택지:
1. 캐비테이션 : 송출압력과 송출유량이 주기적으로 변하는 현상
2. 서징 : 액체가 포화 증기압 이하에서 비등하여 기포가 발생하는 현상
3. 수격작용 : 관을 흐르던 물이 갑자기 정지할 때 압력파에 의해 이상음(異常音)이 발생하는 현상
4. NPSH : 펌프에서 상사법칙을 나타내기 위한 비속도

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.354580707
소방설비기사(기계분야),2019,1,소방원론,7,위험물안전관리법령상 위험물의 지정수량이 틀린 것은?,과산화나트륨 - 50kg,적린 - 100kg,트리니트로톨루엔 - 200kg,탄화알루미늄 - 400kg,4,17,GPT-4o Mini,300,3,0,17.65,12.91,0.74,107,1,108,매우 낮음,1.7e-05,3,False,3,"문제: 위험물안전관리법령상 위험물의 지정수량이 틀린 것은?

선택지:
1. 과산화나트륨 - 50kg
2. 적린 - 100kg
3. 트리니트로톨루엔 - 200kg
4. 탄화알루미늄 - 400kg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.078960689
소방설비기사(기계분야),2019,2,소방원론,14,화재 표면온도(절대온도)가 2배가 되면 복사에너지는 몇 배로 증가 되는가?,2,4,8,16,4,18,GPT-4o Mini,300,4,0,22.22,13.54,0.64,84,1,85,매우 낮음,1.3e-05,4,True,4,"문제: 화재 표면온도(절대온도)가 2배가 되면 복사에너지는 몇 배로 증가 되는가?

선택지:
1. 2
2. 4
3. 8
4. 16

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.531173389
소방설비기사(기계분야),2018,4,소방관계법규,50,소방시설공사업법령에 따른 성능위주설계를 할 수 있는 자의 설계범위 기준 중 틀린 것은?,연면적 30000m$^2$ 이상인 특정소방대상물로서 공항시설,"연면적 100000m$^2$ 이상인 특정소방대상물(단, 아파트등은 제외)","지하층을 포함한 층수가 30층 이상인 특정소방대상물(단, 아파트 등은 제외)",하나의 건축물에 영화상영관이 10개 이상인 특정소방대상물,2,19,GPT-4o Mini,300,5,0,26.32,14.01,0.47,178,1,179,매우 낮음,2.7e-05,2,True,2,"문제: 소방시설공사업법령에 따른 성능위주설계를 할 수 있는 자의 설계범위 기준 중 틀린 것은?

선택지:
1. 연면적 30000m$^2$ 이상인 특정소방대상물로서 공항시설
2. 연면적 100000m$^2$ 이상인 특정소방대상물(단, 아파트등은 제외)
3. 지하층을 포함한 층수가 30층 이상인 특정소방대상물(단, 아파트 등은 제외)
4. 하나의 건축물에 영화상영관이 10개 이상인 특정소방대상물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,O,0.502482267
소방설비기사,2007,1,소방원론,19,다음 중 소화약제로서 물을 사용하는 주된 이유는?,질식작용,증발잠열,연소작용,제거작용,2,20,GPT-4o Mini,300,6,0,30.0,14.74,0.73,76,1,77,매우 낮음,1.2e-05,2,True,2,"문제: 다음 중 소화약제로서 물을 사용하는 주된 이유는?

선택지:
1. 질식작용
2. 증발잠열
3. 연소작용
4. 제거작용

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.442061565
소방설비기사(기계분야),2013,2,소방유체역학,33,"물체의 표면 온도가 100℃에서 400℃로 상승하였을 때 물체 표면에서 방출하는 복사에너지는 약 몇 배가 되겠는가? (단, 물체의 방사율은 일정하다고 가정한다.)",2,4,10.6,256,3,21,GPT-4o Mini,300,6,0,28.57,15.47,0.74,115,1,116,매우 낮음,1.8e-05,4,False,4,"문제: 물체의 표면 온도가 100℃에서 400℃로 상승하였을 때 물체 표면에서 방출하는 복사에너지는 약 몇 배가 되겠는가? (단, 물체의 방사율은 일정하다고 가정한다.)

선택지:
1. 2
2. 4
3. 10.6
4. 256

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.729397037
소방설비기사(기계분야),2019,1,소방원론,11,마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으로 인하여 생성되는 가스는?,산소,수소,일산화탄소,이산화탄소,2,22,GPT-4o Mini,300,7,0,31.82,16.21,0.74,94,1,95,매우 낮음,1.5e-05,2,True,2,"문제: 마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으로 인하여 생성되는 가스는?

선택지:
1. 산소
2. 수소
3. 일산화탄소
4. 이산화탄소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.667229009
소방설비기사(기계분야),2010,4,소방유체역학,39,국소대기압의 98.6kPa인 곳에서 펌프에 의하여 흡입되는 물의 압력을 진공계로 측정하였다. 진공계가 7.3kPa을 가리켰을 때 절대 압력은 몇 kPa인가?,0.93,9.3,91.3,105.9,3,23,GPT-4o Mini,300,8,0,34.78,16.94,0.73,126,1,127,매우 낮음,1.9e-05,3,True,3,"문제: 국소대기압의 98.6kPa인 곳에서 펌프에 의하여 흡입되는 물의 압력을 진공계로 측정하였다. 진공계가 7.3kPa을 가리켰을 때 절대 압력은 몇 kPa인가?

선택지:
1. 0.93
2. 9.3
3. 91.3
4. 105.9

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.274894796
소방설비기사(기계분야),2012,4,소방원론,8,할로겐 화합물 소화설비에서 Halon 1211 약제의 분자식은?,CF$_2$BrCl,CBr$_2$ClF,CCl$_2$BrF,BrC$_2$ClF,1,24,GPT-4o Mini,300,9,0,37.5,17.69,0.75,98,1,99,매우 낮음,1.5e-05,1,True,1,"문제: 할로겐 화합물 소화설비에서 Halon 1211 약제의 분자식은?

선택지:
1. CF$_2$BrCl
2. CBr$_2$ClF
3. CCl$_2$BrF
4. BrC$_2$ClF

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.645731451
소방설비기사(기계분야),2017,4,소방유체역학,39,"그림과 같이 수조에 비중이 1.03인 액체가 담겨있다. 이 수조의 바닥면적이 4m$^2$일 때의 수조바닥 전체에 작용하는 힘은 약 몇 kN인가? (단, 대기압은 무시한다.)",98,51,156,202,4,25,GPT-4o Mini,300,9,0,36.0,18.49,0.8,123,1,124,매우 낮음,1.9e-05,3,False,3,"문제: 그림과 같이 수조에 비중이 1.03인 액체가 담겨있다. 이 수조의 바닥면적이 4m$^2$일 때의 수조바닥 전체에 작용하는 힘은 약 몇 kN인가? (단, 대기압은 무시한다.)

선택지:
1. 98
2. 51
3. 156
4. 202

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",O,,0.262922352
소방설비기사(기계분야),2019,1,소방기계시설의 구조 및 원리,74,"수직강하식 구조대가 구조적으로 갖추어야 할 조건으로 옳지 않은 것은? (단, 건물내부의 별실에 설치하는 경우는 제외한다.)(2023년 08월 14일 개정된 규정 적용됨)",구조대의 포지는 외부포지와 내부포지로 구성한다.,포지는 사용 시 충격을 흡수하도록 수직방향으로 현저하게 늘어나야 한다.,구조대는 연속하여 강하할 수 있는 구조이어야 한다.,입구틀 및 취부틀의 입구는 지름 60cm 이상의 구체가 통과할 수 있어야 한다.,2,26,GPT-4o Mini,300,10,0,38.46,18.99,0.5,186,1,187,매우 낮음,2.8e-05,2,True,2,"문제: 수직강하식 구조대가 구조적으로 갖추어야 할 조건으로 옳지 않은 것은? (단, 건물내부의 별실에 설치하는 경우는 제외한다.)(2023년 08월 14일 개정된 규정 적용됨)

선택지:
1. 구조대의 포지는 외부포지와 내부포지로 구성한다.
2. 포지는 사용 시 충격을 흡수하도록 수직방향으로 현저하게 늘어나야 한다.
3. 구조대는 연속하여 강하할 수 있는 구조이어야 한다.
4. 입구틀 및 취부틀의 입구는 지름 60cm 이상의 구체가 통과할 수 있어야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.091726832
소방설비기사(기계분야),2018,2,소방유체역학,24,"그림과 같이 중앙부분에 구멍이 뚫린 원판에 지름 D의 원형 물제트가 대기압 상태에서 V의 속도로 충돌하여, 원판 뒤로 지름 D/2의 원형 물제트가 V의 속도로 흘러나가고 있을 때, 이 원판이 받는 힘은 얼마인가? (단, ρ는 물의 밀도이다.)",$\\frac{3}{16}\\rho\\pi V^2D^2$,$\\frac{3}{8}\\rho\\pi V^2D^2$,$\\frac{3}{4}\\rho\\pi V^2D^2$,$3\\rho\\pi V^2D^2$,1,27,GPT-4o Mini,300,10,0,37.04,19.53,0.53,201,1,202,매우 낮음,3.1e-05,2,False,2,"문제: 그림과 같이 중앙부분에 구멍이 뚫린 원판에 지름 D의 원형 물제트가 대기압 상태에서 V의 속도로 충돌하여, 원판 뒤로 지름 D/2의 원형 물제트가 V의 속도로 흘러나가고 있을 때, 이 원판이 받는 힘은 얼마인가? (단, ρ는 물의 밀도이다.)

선택지:
1. $\\frac{3}{16}\\rho\\pi V^2D^2$
2. $\\frac{3}{8}\\rho\\pi V^2D^2$
3. $\\frac{3}{4}\\rho\\pi V^2D^2$
4. $3\\rho\\pi V^2D^2$

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",O,,0.308694293
소방설비기사(기계분야),2012,4,소방원론,17,연소시 백적색의 온도는 약 몇 ℃ 정도 되는가?,400,650,750,1300,4,28,GPT-4o Mini,300,10,0,35.71,20.17,0.64,72,1,73,매우 낮음,1.1e-05,3,False,3,"문제: 연소시 백적색의 온도는 약 몇 ℃ 정도 되는가?

선택지:
1. 400
2. 650
3. 750
4. 1300

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.987896434
소방설비기사(기계분야),2008,2,소방관계법규,60,다음 중 화재경계지구의 지정권자는?,시·도지사,소방본부장,소방서장,경찰서장,1,29,GPT-4o Mini,300,11,0,37.93,20.9,0.73,76,1,77,매우 낮음,1.2e-05,1,True,1,"문제: 다음 중 화재경계지구의 지정권자는?

선택지:
1. 시·도지사
2. 소방본부장
3. 소방서장
4. 경찰서장

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.180630258
소방설비기사(기계분야),2009,1,소방관계법규,55,다음 중 특수가연물에 해당되지 않는 것은?,나무껍질 500킬로그램,가연성고체류 2000킬로그램,목재고공품 15세제곱미터,가연성액체류 3제곱미터,2,30,GPT-4o Mini,300,11,0,36.67,21.43,0.53,106,1,107,매우 낮음,1.6e-05,1,False,1,"문제: 다음 중 특수가연물에 해당되지 않는 것은?

선택지:
1. 나무껍질 500킬로그램
2. 가연성고체류 2000킬로그램
3. 목재고공품 15세제곱미터
4. 가연성액체류 3제곱미터

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.997318934
소방설비기사(기계분야),2007,4,소방기계시설의 구조 및 원리,67,분말소화설비의 화재안전기준상 제 1종 분말을 사용한 전역 방출 방식의 분말 소화설비에 있어서 방호구역 1 m$^3$ 에 대한 소화약제의 양은?,0.60 kg,0.36 kg,0.24 kg,0.72 kg,1,31,GPT-4o Mini,300,12,0,38.71,22.47,1.04,124,1,125,매우 낮음,1.9e-05,1,True,1,"문제: 분말소화설비의 화재안전기준상 제 1종 분말을 사용한 전역 방출 방식의 분말 소화설비에 있어서 방호구역 1 m$^3$ 에 대한 소화약제의 양은?

선택지:
1. 0.60 kg
2. 0.36 kg
3. 0.24 kg
4. 0.72 kg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.940743574
소방설비기사_기계분야,2020,4,소방기계시설의 구조 및 원리,63,피난기구의 화재안전기준에 따라 숙박시설·노유자시설 및 의료시설로 사용되는 층에 있어서는 그 층의 바닥면적이 몇 m$^2$ 마다 피난기구를 1개 이상 설치해야하는가?,300,500,800,1000,2,32,GPT-4o Mini,300,12,0,37.5,23.11,0.64,118,1,119,매우 낮음,1.8e-05,1,False,1,"문제: 피난기구의 화재안전기준에 따라 숙박시설·노유자시설 및 의료시설로 사용되는 층에 있어서는 그 층의 바닥면적이 몇 m$^2$ 마다 피난기구를 1개 이상 설치해야하는가?

선택지:
1. 300
2. 500
3. 800
4. 1000

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.111114863
소방설비기사(기계분야),2005,4,소방원론,12,가연물질이 열분해되어 생성된 가스 중 독성이 가장 큰 것은?,일산화탄소,염화수소,이산화탄소,포스겐가스,4,33,GPT-4o Mini,300,13,0,39.39,23.7,0.59,87,1,88,매우 낮음,1.4e-05,4,True,4,"문제: 가연물질이 열분해되어 생성된 가스 중 독성이 가장 큰 것은?

선택지:
1. 일산화탄소
2. 염화수소
3. 이산화탄소
4. 포스겐가스

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.048835596
소방설비기사(기계분야),2004,2,소방관계법규,40,표면적이 같은 1000 K의 물체와 2000 K의 물체에서 복사되는 에너지 크기의 비는?,1:04,1:08,1:16,1:32,3,34,GPT-4o Mini,300,14,0,41.18,24.28,0.58,93,1,94,매우 낮음,1.5e-05,3,True,3,"문제: 표면적이 같은 1000 K의 물체와 2000 K의 물체에서 복사되는 에너지 크기의 비는?

선택지:
1. 1:04
2. 1:08
3. 1:16
4. 1:32

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.257886373
소방설비기사(기계분야),2009,4,소방원론,16,가연성가스이면서도 독성가스인 것은?,질소,수소,메탄,황화수소,4,35,GPT-4o Mini,300,15,0,42.86,24.78,0.5,71,1,72,매우 낮음,1.1e-05,4,True,4,"문제: 가연성가스이면서도 독성가스인 것은?

선택지:
1. 질소
2. 수소
3. 메탄
4. 황화수소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.809330753
소방설비기사(기계분야),2009,4,소방기계시설의 구조 및 원리,66,"분말소화설비의 가압식저장용기에 설치하는 안전밸브의 작동압력은 몇 MPa 이하인가? (단, 내압시험압력은 25.0 MPa, 최고사용압력은 5.0MPa로 한다.)",4,9,13.9,20,2,36,GPT-4o Mini,300,15,0,41.67,25.34,0.56,118,1,119,매우 낮음,1.8e-05,1,False,1,"문제: 분말소화설비의 가압식저장용기에 설치하는 안전밸브의 작동압력은 몇 MPa 이하인가? (단, 내압시험압력은 25.0 MPa, 최고사용압력은 5.0MPa로 한다.)

선택지:
1. 4
2. 9
3. 13.9
4. 20

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only,,0.489372793
