ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,예측답,정답여부,모델응답
11,방재기사,2021,2,방재시설,39,자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?,text_only,O,"기상개황은 자연재해 발생기간내의 강우량, 풍속, 풍향, 적설량등을 기술한다.",주요자연재해 특성분석내용은 위험지구 예비후보지 대상선정시 제외한다.,자연재해 원인특성은 해당재해별 특성을 구분하여 분석한다.,피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로한다.,2,Claude 3.5 Sonnet,136,10,1,90.91,11.48,1.04,1995,150,2145,중간,2,True,2
12,방재기사,2021,2,방재시설,32,우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?,text_only,,항만건설,해안도로 건설,하수구 폐쇄,무분별한 하구 골재채취,3,Claude 3.5 Sonnet,136,11,1,91.67,12.46,1.04,2125,155,2280,중간,3,True,3
13,방재기사,2021,2,재해분석,60,RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$^3$/s)\n- I$_i$는 우량주상도의 i번째 시간구간의 강우강도 (mm/h)\n- A는 j시간의 유역출구 유출량에 기여하는 소유역 면적(km$^2$),text_only,,$Q_j = 0.2777 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} A_i × I_{j+1}$,$Q_j = 0.2777 × \sum_{i=1}^{j} A_i × I_{j+1}$,1,Claude 3.5 Sonnet,136,12,1,92.31,13.5,1.04,2452,160,2612,중간,1,True,1
14,방재기사,2021,3,재해분석,52,재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 포함하여야 하는 사항이 아닌 것은?,text_only,O,재해복구사업의 차별성,재해복구사업 계획추진과 사후관리체계 적정성,침수유역과 관련된 재해복구사업의 침수저감능력과 경제성,재해복구사업으로 인한 지역의 발전성과 지역주민 생활환경의 쾌적성,1,Claude 3.5 Sonnet,136,13,1,92.86,14.36,1.03,2686,165,2851,중간,1,True,1
15,방재기사,2021,2,방재시설,26,자연현황 조사대상에 해당하지 않는 것은?,text_only,,산업현황,하천현황,해상현황,지질·토양현황,1,Claude 3.5 Sonnet,136,14,1,93.33,15.17,1.01,2791,170,2961,중간,1,True,1
16,방재기사,2022,2,방재사업,89,우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?,text_only,,이상파랑,토사포락,호안붕괴,백사장 침식,1,Claude 3.5 Sonnet,136,15,1,93.75,15.9,0.99,2909,175,3084,중간,1,True,1
17,방재기사,2021,2,재난관리,6,재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.,text_only,O,시·도지사,구호지원기관의 장,행정안전부장관,지역보호센터의 장,3,Claude 3.5 Sonnet,136,16,1,94.12,16.7,0.98,3120,180,3300,중간,3,True,3
18,방재기사,2021,3,방재시설,28,폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?,text_only,,호안,흉벽,도류제,고조방파제,3,Claude 3.5 Sonnet,136,17,1,94.44,17.49,0.97,3232,185,3417,중간,3,True,3
19,방재기사,2021,3,방재시설,35,배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?,text_only,,총양정은 계획실양정으로 한다.,펌프용량은 유역의 유출특성과 유수지규모에 따라 결정한다.,계획실양정은 외수계획고수위와 내수의 저수위 수위차의 70~80% 범위로 한다.,펌프의 설비위치는 수리적으로 유리하도록 흡수정과 최대한 가깝게 한다.,1,Claude 3.5 Sonnet,136,17,1,89.47,18.55,0.98,3456,190,3646,중간,3,False,3
20,방재기사,2021,2,재난관리,7,"자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)",text_only,O,비상대처계획 수립,우수유출저감대책의 평가,재해복구사업의 분석·평가,자연재해저감 종합계획의 수립,2,Claude 3.5 Sonnet,136,17,1,85.0,19.38,0.97,3659,195,3854,중간,4,False,4
21,방재기사,2020,3,방재시설,35,재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?,text_only,,기상청:신속하고 정확한 호우특보 전파,교육부:긴급동원체계 및 인명구조 긴급지원태세 유지,산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화,보건복지부:재해지역 식중독 예방대책 추진,2,Claude 3.5 Sonnet,136,18,1,85.71,20.28,0.97,3881,200,4081,중간,2,True,2
22,방재기사,2022,2,방재시설,34,하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장,text_only,O,"ㄱ:5년, ㄴ:10년, ㄷ:30년","ㄱ:5년, ㄴ:10년, ㄷ:20년","ㄱ:10년, ㄴ:30년, ㄷ:30년","ㄱ:10년, ㄴ:30년, ㄷ:20년",3,Claude 3.5 Sonnet,136,18,1,81.82,20.98,0.95,4136,205,4341,중간,1,False,1
23,방재기사,2021,2,재해대책,68,재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?,text_only,,침수 정보,현지 조사,정보 보안,재해정보지도 작성 방침,3,Claude 3.5 Sonnet,136,19,1,82.61,21.84,0.95,4268,210,4478,중간,3,True,3
24,방재기사,2021,2,재해분석,56,재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?,text_only,,재해예방사업의 투자 우선순위,자연재해위험개선지구 지정 개선방안,재해복구사업 시행에 따른 각 시설물별 개선방안,지역발전성과 지역주민 생활환경의 쾌적성 향상방안,2,Claude 3.5 Sonnet,136,19,1,79.17,22.67,0.94,4496,215,4711,중간,4,False,4
25,방재기사,2019,5,방재시설,28,다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.,text_only,,"㉮ : 인구, ㉯ : 경제","㉮ : 인구, ㉯ : 산업","㉮ : 산업, ㉯ : 경제","㉮ : 산업, ㉯ : 복지",2,Claude 3.5 Sonnet,136,19,1,76.0,23.66,0.95,4708,220,4928,중간,1,False,1
26,방재기사,2020,3,재해대책,77,자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?,text_only,O,옹벽,저류지,배수펌프장,방조제,1,Claude 3.5 Sonnet,136,19,1,73.08,24.48,0.94,4832,225,5057,중간,4,False,4
27,방재기사,2020,3,재난관리,5,댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?,text_only,,위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.,위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.,위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.,인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.,4,Claude 3.5 Sonnet,136,19,2,70.37,27.47,1.02,5160,325,5485,중간,N/A,False,"4

댐·저수지 붕괴 시 PAR(Person At Risk)은 댐의 상류가 아닌 하류 위험지역에 거주하는 사람의 수를 의미합니다. 댐 붕괴 시 주로 하류 지역이 범람의 위험에 노출되기 때"
28,방재기사,2021,3,방재시설,36,자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?,text_only,O,자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.,주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.,"피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.","주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.",2,Claude 3.5 Sonnet,136,20,2,71.43,28.32,1.01,5511,330,5841,중간,2,True,2
29,방재기사,2021,3,방재사업,87,도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?,text_only,O,하천,저수지,상수도,방풍설비,3,Claude 3.5 Sonnet,136,21,2,72.41,29.14,1.0,5633,335,5968,중간,3,True,3
30,방재기사,2022,2,방재사업,97,자연재해대책법령상 상습가뭄재해지역에 대한 생활수?먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책,text_only,O,"ㄱ, ㄴ ,ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,Claude 3.5 Sonnet,136,22,2,73.33,30.53,1.02,5900,340,6240,중간,3,True,3
31,방재기사,2021,3,재해분석,49,방재성능목표 달성에 필요한 재정적 수요를 고려한 사항을 모두 고른 것은?\n\nㄱ. 재해지역의 재정자립도\nㄴ. 재해지역의 소득지가 변동률\nㄷ. 재해지역의 도시화율\nㄹ. 재해지역의 시설물별 피해양상,text_only,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ",3,Claude 3.5 Sonnet,136,22,2,70.97,31.51,1.02,6139,345,6484,중간,4,False,4
32,방재기사,2019,5,재해대책,66,침수흔적조사에 대한설명으로 틀린 것은?,text_only,,침수흔적조사는 재해지도를 작성할 때 기초 자료로 활용하기 위하여 실시한다.,행안부장관은 침수범람 등의 피해가 발생한 경우 침수흔적을 조사하여야한다.,대하천의 범람 등 단기간 내 끝나지 않는 재해의 경우 재해진행현장을 조사하는 것이 가능하다.,피해발생 후 신속한 조사가 어려운 경우에는 전담기관 및 대행자에 의뢰하여 침수흔적 조사를 실시할 수 있다.,2,Claude 3.5 Sonnet,136,22,3,68.75,33.83,1.06,6423,445,6868,중간,N/A,False,"2

침수흔적조사는 지자체장이 실시하도록 되어있으며, 행안부장관이 아닙니다. 자연재해대책법 제21조에 따르면, 시장·군수·구청장이 침수흔적을 조사하고 침수흔적도를 작성하도록"
33,방재기사,2020,3,방재시설,32,하천의 하상경사가 급하고 저수지의 관리수위이하의 저수율을 보유하고 있는 하천 시점부의 농경지에서의 취약한 재해유형은?,text_only,,하천재해,가뭄재해,내수재해,토사재해,2,Claude 3.5 Sonnet,136,22,3,66.67,34.98,1.06,6570,450,7020,중간,4,False,4
34,방재기사,2020,3,방재시설,29,하천설계 시 하천제방에 대한 설계기준의 설명으로 틀린것은?,text_only,,제방고는 계획홍수위에 여유고를 더한 높이 이상으로 한다,파랑고가 여유고보다 높은 경우는 파랑고를 여유고로 한다,계획홍수량이 200 m$^3$/sec 미만인경우 여유고는 0.6m이상으로 한다,계획홍수량이 200 m$^3$/sec 미만인경우 둑마루폭은 3.0m이상으로 한다,4,Claude 3.5 Sonnet,136,22,4,64.71,37.33,1.1,6811,550,7361,중간,N/A,False,"4

하천설계기준에 따르면, 계획홍수량이 200 m³/sec 미만인 경우 둑마루폭은 4.0m 이상으로 해야 합니다. 선택지 4번에서는 3.0m 이상이라고 했으므로 틀린 설명입니다."
35,방재기사,2021,2,재난관리,4,재난 및 안전관리 기본법령상 자연재난에 해당되지 않는 것은?,text_only,O,태풍,황사,폭염,미세먼지,4,Claude 3.5 Sonnet,136,23,4,65.71,38.22,1.09,6921,555,7476,중간,4,True,4
36,방재기사,2021,3,재난관리,13,"재해구호법령상 재난구호를 위한 의연금품 모집 목표액이 10억원일 때, 모집에 필요한 경비의 최고 한도액으로 옳은 것은?",text_only,O,"15,000,000원","20,000,000원","25,000,000원","30,000,000원",2,Claude 3.5 Sonnet,136,24,4,66.67,39.06,1.08,7075,560,7635,중간,2,True,2
37,방재기사,2020,3,재해분석,53,"다음의 표를 이용하여 전체면적 5.0km$^2$인 지역의 내수재해 취약요인 분 석시 NRCS방법에 의한 유효우량 산정을 위한 유출 곡선지수(CN)를 옳게 산정한 것은? (단, 유역의 선행토양함수조건은 AMC-Ⅱ이다.)\n\n| 토지이용 | 면적(km$^2$) | 토양형 | 선행토양함수조건 | CN |\n| --- | --- | --- | --- | --- |\n| 공업지역 | 4.0 | A | AMC-Ⅱ | 81 |\n| 불투수지역 | 0.7 | B | AMC-Ⅱ | 98 |\n| 개발중인지역 | 0.3 | C | AMC-Ⅱ | 94 |",text_only,,54.6,81,84.2,91,3,Claude 3.5 Sonnet,136,24,5,64.86,41.3,1.12,7424,660,8084,중간,N/A,False,"3

풀이 과정:
1) 가중평균 CN = (각 구역의 CN × 면적)의 합 ÷ 전체면적

2) 계산:
- 공업지역: 81 × 4.0 = 324
- 불투수지역: 98 × 0.7 = 68.6
-"
38,방재기사,2020,3,재난관리,19,자연재해대책법령상 재해정보지도에 해당하지 않는 것은?,text_only,O,방재교육형 재해정보지도,보험산정형 재해정보지도,방재정보형 재해정보지도,피난활용형 재해정보지도,2,Claude 3.5 Sonnet,136,25,5,65.79,42.14,1.11,7565,665,8230,중간,2,True,2
39,방재기사,2021,2,재난관리,2,재난 및 안전관리 기본법령상 지역통제단장이 할 수 없는 응급조치는?,text_only,O,진화에 관한 응급조치,현장지휘통신체계의 확보,긴급수송 및 구조수단의 확보,"급수 수단의 확보, 긴급피난처 및 구호품의 확보",4,Claude 3.5 Sonnet,136,25,5,64.1,43.05,1.1,7733,670,8403,중간,1,False,1
40,방재기사,2021,2,방재시설,28,자연재해위험개선지구 정비계획 수립시 검토사항으로 모두 고른 것은?\n\n㉠ 정비사업의 타당성검토\n㉡ 다른 사업과의 중복 및 연계성 여부\n㉢ 정비사업에 따른 지역주민 의견 수렴결과 검토\n㉣ 재해위험개선지구별 경제성 분석등을 통한 투자우선순위검토,text_only,,"㉠, ㉡","㉠, ㉢, ㉣","㉡, ㉢, ㉣","㉠, ㉡, ㉢, ㉣",4,Claude 3.5 Sonnet,136,26,5,65.0,43.88,1.1,7999,675,8674,중간,4,True,4
41,방재기사,2019,5,방재사업,90,"대도시 지역의 건물에 대한 침수면적-피해액 관계식(회귀식 사용)이 상수항은 0.23294, 침수면적항은 0.245s$^2$, 적합도는 0.63으로 나타났다. 다음과 같이 값이 주어지는 경우 대도시 지역의 건물피해 방지편익은 얼마인가? (단, s = 침수면적(ha) / 도시유형별 평균침수면적(ha)이다.)\n\n평균 침수면적 : 875.3ha\n침수면적 : 5.45ha\n평균 침수 피해액 : 206.8백만원\n홍수 빈도율 : 0.556",text_only,,0.2백만원,26.8백만원,48.2백만원,255.0백만원,2,Claude 3.5 Sonnet,136,26,6,63.41,45.93,1.12,8313,775,9088,중간,N/A,False,"풀이 과정:
1) s = 침수면적/평균침수면적 = 5.45/875.3 = 0.00622

2) 회귀식: y = 0.23294 + 0.245s²
   y = 0.23294 + 0.245(0.00622)²
   y = 0.23294 +"
42,방재기사,2021,3,방재시설,40,자연재해저감 종합계획 세부수립기준상 기초자료 조사 중 인문현황 조사의 내용이 아닌 것은?,text_only,O,수문현황,인구현황,산업현황,문화재현황,1,Claude 3.5 Sonnet,136,27,6,64.29,47.22,1.12,8444,780,9224,중간,1,True,1
43,방재기사,2021,3,방재시설,33,하천재해의 종류와 위험요인의 연결이 틀린 것은?,text_only,,하천범람 - 계획홍수량 과소 책정,호안유실 - 제방고 및 제방여유고 부족,제방붕괴 - 하천횡단구조물 파괴에 따른 연속 파괴,하천 횡단구조물 파괴 - 교각부 콘크리트 유실,2,Claude 3.5 Sonnet,136,28,6,65.12,48.53,1.13,8635,785,9420,중간,2,True,2
44,방재기사,2021,3,재해분석,53,자연재해대책법령상 명시된 지역별 방재성능 목표 설정에 관한 사항으로 ( )에 알맞은 내용은?\n\n? ( ㉠ )는 홍수·호우등으로부터 재해를 예방하기 위한 방재정책 등에 적용하기위하여 처리가능한 시간당 강우량 및 연속 강우량의 목표를 지역별로 설정 운용할수 있도록 관계 중앙 행정기관장과 협의하여 방재성능목표를 설정기준을 마련하고 이를 특별시장·광역시장 시장 및 군수에게 통보하여야 한다.\n? 방재성능목표 설정 기준을 특별시장 광역시장 시장 및 군수는 해당 특별시 광역시(광역시에 속하는 군은 제외한다) 시 및 군에 대한 ( ㉡ )년 단위의 지역별 방재성능목표를 설정 공표하고 운용하여야 한다.,text_only,O,"㉠ 행정안전부장관, ㉡ 5년","㉠ 지방자치단체장, ㉡ 5년","㉠ 행정안전부장관, ㉡ 10년","㉠ 지방자치단체장, ㉡ 10년",3,Claude 3.5 Sonnet,136,28,6,63.64,49.36,1.12,9119,790,9909,중간,1,False,1
45,방재기사,2020,3,방재시설,38,자연재해대책법령상 자연재해위험 개선지구 정비계획 수립주기는?,text_only,O,1년,3년,5년,7년,3,Claude 3.5 Sonnet,136,29,6,64.44,50.05,1.11,9224,795,10019,중간,3,True,3
46,방재기사,2020,3,재난관리,18,자연재해대책법령상 재해정보 및 비상지원등에 관한 설명으로 틀린것은?,text_only,O,재난관리책임기관의 장은 자연재해가 발생하면 그 현황을 실시간으로 종합적인 재해정보체계에 입력하여야 한다.,지방자치단체의장은 필요하면 비상대처계획의 수립 실태를 점검할수있다.,해양경찰청은 해상에서의 각종지원 및 수난 구호등에 관한 사항에 대하여 긴급지원계획을 수립하여야 한다.,산업통상자원부장관은 종합 재해정보체계의 효율적인 활용을 위하여 재해정보체계 표준을 개발하여 보급하여야 한다.,4,Claude 3.5 Sonnet,136,29,7,63.04,52.11,1.13,9539,890,10429,중간,N/A,False,"4

자연재해대책법에 따르면, 종합 재해정보체계의 표준 개발 및 보급은 행정안전부장관의 책무입니다. 산업통상자원부장관이 아닙니다. 따라서 4번이 틀린 설명입니다."
47,방재기사,2021,2,재난관리,11,재난 및 안전관리기본법령상 훈련주관기관의 장이 실시하는 재난대비훈련 평가항목으로 명시되지 않는 것은?,text_only,O,재해구호시설물 안전점검 실시,유관기관과의 협력체제 구축실태,장비의 종류·기능 및 수량 등 동원실태,분야별 전문인력 참여도 및 훈련목표 달성정도,1,Claude 3.5 Sonnet,136,30,7,63.83,52.98,1.13,9738,895,10633,중간,1,True,1
48,방재기사,2021,3,재해대책,68,자연재해위험개선지구 투자우선순위 결정을 위한 비용편익 분석방법 중 간편법(원단위법)에 대한 설명으로 틀린 것은?,text_only,,사업의 경제성이 비교적 높게 평가된다.,하천이나 수계전체의 입장을 고려하지 못한다.,경제성 분석을 위한 소요자료 및 인력소요가 적다.,농작물 피해액을 기준으로 피해계수를적용하므로 예상피해액 산정방법이 간편하다.,1,Claude 3.5 Sonnet,136,31,7,64.58,53.86,1.12,9979,900,10879,중간,1,True,1
49,방재기사,2021,3,재해대책,64,지역외 저류시설의 구조형식이 아닌 것은?,text_only,,댐식,굴착식,이단식,지하식,3,Claude 3.5 Sonnet,136,32,7,65.31,54.7,1.12,10079,905,10984,중간,3,True,3
50,방재기사,2019,5,재해대책,75,자연재해위험개선지구 유형이 아닌 것은?,text_only,,침수위험지구,고립위험지구,토사위험지구,붕괴위험지구,3,Claude 3.5 Sonnet,136,32,7,64.0,55.53,1.11,10191,910,11101,중간,2,False,2
51,방재기사,2020,3,재해분석,54,"다음표를 참조하여 방재분야 표준품셈에 따른 자연재해저감 종합계획 단계에서 해안재해위험지구를 기준으로 하는 단위 업무의 기술사 소요인력은? (단, 해안재해 위험지구는 18개소이다.)\n\n| 구분 | 해안재해위험요인분석 |\n| --- | --- |\n| 단위 | 100개소 100km |\n| | 기술사 | 1.15 |\n| | 특급기술자 | 1.90 |\n| | 고급기술자 | 3.75 |\n| 소요인력(인/일) | 중급기술자 | 4.40 |\n| | 초급기술자 | 2.50 |\n| | 중급숙련자 | 1.90 |",text_only,,0.21인/일,0.45인/일,0.66인/일,1.21인/일,1,Claude 3.5 Sonnet,136,32,8,62.75,57.68,1.13,10540,1010,11550,중간,N/A,False,"1

풀이:
1. 표준품셈에서 기술사 소요인력은 100개소당 1.15인/일
2. 실제 해안재해 위험지구는 18개소
3. 18개소에 대한 기술사 소요인력 계산:
   * (18개소 ÷ 100개"
52,방재기사,2019,5,방재사업,91,하천치수사업의 경제적 편익으로 직접 편익에 해당하는 것은?,text_only,,침수로 인한 오염 피해 감소효과,교통두절에 의한 물류유통 감소효과,교통두절에 의한 피해 감소효과,농경지 토사 매몰 방지효과,4,Claude 3.5 Sonnet,136,33,8,63.46,58.52,1.13,10702,1015,11717,중간,4,True,4
53,방재기사,2022,2,재해대책,68,"자연재해대책법령상 개발사업의 부지면적이 5만제곱미터 미만이거나 개발사업의 길이가 10킬로미터 미만인 개발사업의 재해영향평가의 협의 기간은? (단, 협의기간연장에 관한 사항은 제외한다.)",text_only,O,20일,30일,40일,45일,2,Claude 3.5 Sonnet,136,34,8,64.15,59.51,1.12,10876,1020,11896,중간,2,True,2
54,방재기사,2019,5,방재사업,97,하천의 홍수재해 피해저감을 위한 구조적 대책이 아닌 것은?,text_only,,제방 설치 및 하천개수 공사,하수도 및 배수펌프장 설치,댐 설치,홍수방재 계획 수립,4,Claude 3.5 Sonnet,136,35,8,64.81,60.3,1.12,11020,1025,12045,중간,4,True,4
55,방재기사,2021,3,방재사업,84,다음에서 설명하는 시방서는?\n\n시설물의 안전 및 공사시행의 적정성과 품질확보 등을 위해 시설물 별로 정한 표준적인 시공기준으로 모든공사에 공통으로 적용되는 기준의 설명서,text_only,,개방시방서,전문시방서,전용시방서,표준시방서,4,Claude 3.5 Sonnet,136,36,8,65.45,60.97,1.11,11199,1030,12229,중간,4,True,4
56,방재기사,2019,5,방재시설,37,방재계획의 기초자료 조사 시 조사항목과 관련자료의 연결로 틀린 것은?,text_only,,지질현황 - 수치지질도,토양특성 - 정밀토양도,지형특성 - 수치지도,주문현황 - 행정지도,4,Claude 3.5 Sonnet,136,37,8,66.07,61.81,1.1,11349,1035,12384,중간,4,True,4
57,방재기사,2021,3,재해대책,67,소하천 설계의 내용 중 틀린 것은?,text_only,,수문의설치방향은 제방법선에 직각으로 최대한 간단한구조가 되도록한다.,"수문, 배수통문 등의 설치위치는 하폭이 급변하지 않고 하상변동이 가장 큰 지점으로 선정한다.","집수암거(집수정)의 위치는 보, 교량등과 같은 구조물 인접지점, 하상변동이 크거나 수충부 및 지천 합류부등의 지점은 피한다.","일반적으로 고정보의 본체는 콘크리트구조를 원칙으로 하며, 구조적 안정성을 만족하는 동시에 수리학적으로 유리한 단면으로 설계한다.",2,Claude 3.5 Sonnet,136,37,9,64.91,63.75,1.12,11665,1135,12800,중간,N/A,False,"2

수문, 배수통문 등의 설치위치는 하폭이 급변하지 않고 하상변동이 적은 지점을 선정해야 합니다. 하상변동이 큰 지점은 구조물의 안정성을 해칠 수 있으므로 피해야 합니다."
