Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,제외 여부,법령 이름,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,예측답,정답여부,모델응답
산업안전기사,2004,1,전기위험방지기술,61,교류아크 용접기의 자동전격방지란 용접기의 2차전압을 25V 이하로 자동조절하여 작업자의 전격재해를 방지하는 것이다. 어떤 시점에서 그 기능을 발휘하는가?,text_only,,아크를 발생시킬 때만,용접 작업 전체시간 동안,용접작업을 진행하고 있는 동안만,용접작업중단 직후부터 다음 아크 발생시까지,4,,,Claude Sonnet 4,282,10,2,66.67,41.33,2.76,2640,265,2905,중간,4,True,4
산업안전기사,2004,1,화학설비위험방지기술,100,폭발압력과 인화성가스의 농도와의 관계에 대해 설명한 것 중 옳은 것은?,text_only,,인화성가스의 농도가 너무 희박하거나 진하여도 폭발압력은 높아진다.,폭발압력은 양론농도보다 약간 높은 농도에서 최대폭발압력이 된다.,최대폭발압력의 크기는 공기와의 혼합기체에서보다 산소의 농도가 큰 혼합기체에서 더 낮아진다.,인화성가스의 농도와 폭발압력은 반비례 관계이다.,2,,,Claude Sonnet 4,282,11,2,68.75,44.27,2.77,2901,270,3171,중간,2,True,2
산업안전기사,2004,2,안전관리론,11,버드의 재해구성 비율 1:10:30:600 중 10은 무엇을 나타내는가?,text_only,,중상,"경상(물적, 인적사고)",무상해사고(물적손실),무상해 무사고(위험순간),2,,,Claude Sonnet 4,282,11,2,64.71,46.54,2.74,3039,275,3314,중간,3,False,3
산업안전기사,2004,2,인간공학 및 시스템안전공학,36,실효온도(effective temperature : ET)의 종류에 해당되지 않는 것은?,text_only,,Oxford지수,습구 글로브온도,Botsball지수,열지수(heat index),4,,,Claude Sonnet 4,282,11,2,61.11,49.17,2.73,3152,280,3432,중간,1,False,1
산업안전기사,2004,2,기계위험방지기술,51,프레스 금형 안에 부품을 손으로 넣고 빼내는 구조이면 부품 송급시 수공구가 활용된다. 이 수공구에 해당되지 않는 것은?,text_only,,핀셋트류,슈트,플라이어류,자석공구류,2,,,Claude Sonnet 4,282,12,2,63.16,51.55,2.71,3303,285,3588,중간,2,True,2
산업안전기사,2004,2,화학설비위험방지기술,83,다음 중 발화온도(ignition temperature)를 바르게 설명한 것은?,text_only,,화염이나 불꽃에 의해 발화가 가능한 인화성의 혼합 가스가 형성되는 액체 및 고체의 최저온도,불꽃에 의해 인화성의 혼합가스를 발화시키는데 필요한 최소의 방전에너지,일정한 무게를 낙하시켜 충격에 의해 에너지를 주어 이에 의한 발화성을 알아보는 것,인화성 물질을 공기나 산소 중에서 가열한 경우에 발화 또는 폭발을 일으키기 시작하는 최저온도,4,,,Claude Sonnet 4,282,13,2,65.0,54.12,2.71,3587,290,3877,중간,4,True,4
산업안전기사,2004,3,안전관리론,12,안전교육 평가의 과정을 설명할 것 중 관계가 적은 것은?,text_only,,확실한 평가 목적이 최우선이다.,평가 장면의 선정은 성취 또는 습득의 증거가 나타난 장면을 선정한다.,평가도구 제작 및 선정은 참고자료로서 기초자료에 해당된다.,"평가를 실시할 때는 시기, 장소, 횟수, 대상, 종류, 방법 등을 고려하여야 한다.",3,,,Claude Sonnet 4,282,14,2,66.67,56.56,2.69,3816,295,4111,중간,3,True,3
산업안전기사,2004,3,인간공학 및 시스템안전공학,39,일정한 고장률을 가진 어떤 기계의 고장률이 0.004/시간일 때 10시간 이내에 고장을 일으킬 확률은?,text_only,,$1 + e^{0.04}$,$1 - e^{-0.004}$,$1 - e^{0.04}$,$1 - e^{-0.04}$,4,,,Claude Sonnet 4,282,14,3,63.64,60.25,2.74,3982,395,4377,중간,N/A,False,"일정한 고장률을 가진 기계의 고장 확률을 구하는 문제입니다.

주어진 정보:
- 고장률 λ = 0.004/시간
- 시간 t = 10시간

지수분포에서 시간 t 이내에 고장이 발생할 확률은:"
산업안전기사,2004,3,전기위험방지기술,70,감전사고시 전선이나 개폐기 터미널 등의 금속분자가 고열로 용융됨으로서 피부 속으로 녹아 들어가는 것은?,text_only,,피부의 광성변화,전문,표피박탈,전류반점,1,,,Claude Sonnet 4,282,14,3,60.87,62.36,2.71,4125,400,4525,중간,4,False,4
산업안전기사,2004,3,화학설비위험방지기술,93,"NH$_4$NO$_3$의 가열, 분해로부터 제조되는 무색, 무취의 가스로서 웃음가스로 알려진 가스의 화학식은?",text_only,,N$_2$O,NO$_2$,N$_2$O$_4$,NO,1,,,Claude Sonnet 4,282,15,3,62.5,65.83,2.74,4266,405,4671,중간,1,True,1
산업안전기사,2005,1,기계위험방지기술,53,컨베이어(conveyer)역전방지 장치 형식이 아닌 것은?,text_only,,롤러식,라체트식,권과방지장치,전기 브레이크,3,,,Claude Sonnet 4,282,16,3,64.0,68.7,2.75,4379,410,4789,중간,3,True,3
산업안전기사,2005,1,전기위험방지기술,72,다음 중 가수전류에 대한 설명이 옳은 것은?,text_only,,마이크 사용 중 전격으로 사망에 이른 전류,전격을 일으킨 전류가 교류인지 직류인지 구별할 수 없는 전류,충전부로부터 자력으로 이탈할 수 있는 전류,몸이 물에 젖어 전압이 낮은 데도 전격을 일으킨 전류,3,,,Claude Sonnet 4,282,16,4,61.54,73.33,2.82,4582,510,5092,중간,N/A,False,"3

가수전류(可手電流, let-go current)는 사람이 충전부를 잡았을 때 자력으로 손을 뗄 수 있는 최대 전류를 의미합니다. 이 전류값을 초과하면 근육이 경직되어 스스로 충전부에서 손을"
산업안전기사,2005,1,건설안전기술,115,차량계 건설기계를 사용하는 작업에 있어 작업계획에 포함되어야 하는 사항이 아닌 것은?,text_only,O,차량계 건설기계의 종류 및 성능,차량계 건설기계의 방호장치,차량계 건설기계의 운행경로,차량계 건설기계에 의한 작업방법,2,,안전보건규칙,Claude Sonnet 4,282,17,4,62.96,75.6,2.8,4756,515,5271,중간,2,True,2
산업안전기사,2005,2,안전관리론,14,안전교육 계획수립시 고려할 사항이 아닌 것은?,text_only,,필요한 정보를 수집한다.,현장의 의견을 충분히 반영한다.,정부규정에 의한 교육에 치중한다.,안전교육 시행체계와의 관련을 고려한다.,3,,,Claude Sonnet 4,282,18,4,64.29,77.78,2.78,4915,520,5435,중간,3,True,3
산업안전기사,2005,2,기계위험방지기술,57,기계부품에 작용하는 힘 중에서 안전율을 가장 크게 취하여야 할 힘의 종류는?,text_only,,반복하중,교번하중,충격하중,정하중,3,,,Claude Sonnet 4,282,19,4,65.52,80.57,2.78,5038,525,5563,중간,3,True,3
산업안전기사,2005,2,전기위험방지기술,61,코로나 방전이 발생하면 공기 중에 무엇이 생성되는가?,text_only,,O$_2$,O$_3$,N$_2$,N$_3$,2,,,Claude Sonnet 4,282,19,5,63.33,84.87,2.83,5148,618,5766,중간,N/A,False,"2

코로나 방전이 발생하면 공기 중의 산소 분자(O₂)가 분해되어 산소 원자가 되고, 이 산소 원자가 다른 산소 분자와 결합하여 오존(O₃)이 생성됩니다."
산업안전기사,2005,2,건설안전기술,115,다음 중 발파공의 충전재료로 부적당한 것은?,text_only,,점토,모래,비발화성 물질,인화성 물질,4,,,Claude Sonnet 4,282,20,5,64.52,87.27,2.82,5253,623,5876,중간,4,True,4
산업안전기사,2005,3,인간공학 및 시스템안전공학,27,시스템 안전을 위한 잠재 위험 요소의 검출 방법으로 맞지 않는 것은?,text_only,,위험 발생시 조치 checklist,방법상의 잠재 위험 제어 checklist,잠재 위험 최소화를 위한 설계 checklist,경보 장치와 방호 장치 checklist,1,,,Claude Sonnet 4,282,21,5,65.62,89.81,2.81,5421,628,6049,중간,1,True,1
산업안전기사,2005,3,전기위험방지기술,74,반도체 취급 시 정전기로 인한 재해 방지대책으로 거리가 먼 것은?,text_only,,작업자 정전화 착용,작업자 제전복 착용 ,부도체 작업대 접지 실시,작업장 도전성 매트 사용,3,변경완료,,Claude Sonnet 4,282,21,6,63.64,94.53,2.86,5569,728,6297,중간,N/A,False,"3

부도체 작업대는 전기를 통하지 않기 때문에 접지를 실시해도 정전기 제거 효과가 없습니다. 정전기 방지를 위해서는 도전성 또는 정전기 소산성 재질의 작업대를 사용해야 합니다."
산업안전기사,2005,3,건설안전기술,103,공사용 가설 도로에 대한 설명 중 옳지 않은 것은?,text_only,O,도로는 장비 및 차량이 안전하게 운행할 수 있도록 견고하게 설치한다.,부득이한 경우를 제외하는 경우 최고 허용 경사도는 20% 이다.,도로와 작업장의 접해 있을 경우에는 방책 등을 설치한다.,도로는 배수를 위해 경사지게 설치하거나 배수 시설을 해야 한다.,2,,안전보건규칙,Claude Sonnet 4,282,22,6,64.71,97.23,2.86,5800,733,6533,중간,2,True,2
산업안전기사,2005,3,건설안전기술,106,법면 붕괴에 의한 재해 예방 조치로서 맞는 것은?,text_only,O,지표수와 지하수의 침투를 방지한다.,법면의 경사 및 구배를 증가시킨다.,절토 및 성토 높이를 증가시킨다.,토질의 상태에 관계없이 구배 조건을 일정하게 한다.,1,,굴착공사 표준안전 작업지침 제28조,Claude Sonnet 4,282,23,6,65.71,100.05,2.86,5980,738,6718,중간,1,True,1
산업안전기사,2006,1,인간공학 및 시스템안전공학,37,"회전운동을 하는 조종구와 같은 조종장치의 반경이 10cm이고 30° 만큼 움직였을 때, 선형표시장치의 눈금이 4.84cm 움직였다. 이때의 통제표시비는?",text_only,,1.256,1.08,0.965,0.833,2,,,Claude Sonnet 4,282,23,7,63.89,103.76,2.88,6138,838,6976,중간,N/A,False,"통제표시비를 구하기 위해 단계별로 계산하겠습니다.

주어진 정보:
- 조종구 반지름: 10cm
- 회전각도: 30°
- 선형표시장치 이동거리: 4.84cm

1단계: 조종구의 호장 길이 계"
산업안전기사,2006,1,기계위험방지기술,45,보일러의 탱크(tank)가 폭발하였다. 이 파괴 사고와 관련이 없는 파괴형태는?,text_only,,Brittle fracture,Fatigue fracture,Environmental fracture,Creep,1,,,Claude Sonnet 4,282,23,7,62.16,105.8,2.86,6259,843,7102,중간,2,False,2
산업안전기사,2006,1,전기위험방지기술,71,정전기의 재해방지 대책으로 부적당한 것은?,text_only,,부도체에는 도전성을 향상 또는 제전기를 설치 운영한다.,반도체 취급 공정작업자는 손목 띠의 저항을 $10^{10}$ Ω이하로 한다.,"접지값은 $10^6$Ω 이하이면 충분하고, 안전을 고려하여 $10^3$ Ω 이하로 유지한다.","생산공정에 별다른 문제가 없다면, 습도를 70(%)정도 유지하는 것도 무방하다",2,,,Claude Sonnet 4,282,23,8,60.53,109.46,2.88,6511,943,7454,중간,N/A,False,"2

반도체 취급 공정작업자의 손목 띠 저항은 $10^{10}$ Ω이 아니라 $10^6$ Ω 이하로 해야 합니다. $10^{10}$ Ω은 너무 높은 저항값으로 정전기 방지 효과가 없습"
산업안전기사,2006,1,화학설비위험방지기술,95,폭발 또는 화재가 발생할 우려가 있는 건조설비의 구조로 가장 적절하지 않은 것은?,text_only,,위험물 건조설비의 상부는 견고한 구조로 할 것,건조설비의 외면은 불연성 재료로 만들 것,건조설비의 내부는 청소가 쉬운 구조로 할 것,위험물 건조설비의 열원으로서 직화를 사용하지 말 것,1,,,Claude Sonnet 4,282,24,8,61.54,112.48,2.88,6722,948,7670,중간,1,True,1
산업안전기사,2006,2,안전관리론,16,안전교육의 4단계법 순서를 올바르게 나열한 것은?,text_only,,제시 → 적용 → 준비 → 확인,적용 → 준비 → 확인 → 제시,준비 → 제시 → 적용 → 확인,확인 → 준비 → 제시 → 적용,3,,,Claude Sonnet 4,282,25,8,62.5,114.56,2.86,6881,953,7834,중간,3,True,3
산업안전기사,2006,2,인간공학 및 시스템안전공학,34,"1970년 이후 미국의 W. G. Johnson에 의해 개발된 최신 시스템 안전 프로그램으로서 원자력 산업의 고도 안전달 성을 위해 개발된 분석기법이다. 관리, 설계, 생산, 보전 등 광범위한 안전을 도모하기 위하여 개발된 분석 기법은?",text_only,,MORT,DT,ETA,FTA,1,,,Claude Sonnet 4,282,26,8,63.41,116.63,2.84,7071,958,8029,중간,1,True,1
산업안전기사,2006,2,기계위험방지기술,60,진동장애의 예방대책과 가장 거리가 먼 것은?,text_only,O,저진동공구를 사용한다.,진동업무를 자동화한다.,방진장갑 등 진동보호구를 착용한다.,실외작업을 한다.,4,,KOSHA GUIDE M-31-2012 손과 팔의 진동 제어,Claude Sonnet 4,282,27,8,64.29,118.77,2.83,7213,963,8176,중간,4,True,4
산업안전기사,2006,2,전기위험방지기술,79,정전기로 인한 발화의 예방법이 아닌 것은?,text_only,,정전기의 발생 방지조치,대전 방지 조치,공기 조절조치,공기 이온화 조치,3,,,Claude Sonnet 4,282,28,8,65.12,121.08,2.82,7337,968,8305,중간,3,True,3
산업안전기사,2006,2,화학설비위험방지기술,85,공기 중 최소 발화에너지 값이 가장 적은 물질은?,text_only,,CH$_2$=CH$_2$,CH$_2$=CHCH$_3$,CH$_4$,C$_2$H$_6$,1,,,Claude Sonnet 4,282,28,9,63.64,124.7,2.83,7463,1068,8531,중간,N/A,False,"최소 발화에너지(Minimum Ignition Energy, MIE)는 가연성 기체가 점화되기 위해 필요한 최소한의 에너지를 의미합니다.

각 물질의 최소 발화에너지 값을 비교하면:

1. CH₂=CH₂ (에틸렌"
산업안전기사,2006,2,건설안전기술,103,아래의 와이어로프 중 양중기에 사용할 수 있는 것은?,text_only,,와이어로프의 한 꼬임(스트랜드)에서 끊어진 소선의수가 8%인 것,지름의 감소가 공칭지름의 8%인 것,심하게 부식된 것,이음매가 있는 것,1,,,Claude Sonnet 4,282,29,9,64.44,127.07,2.82,7633,1073,8706,중간,1,True,1
산업안전기사,2006,2,건설안전기술,113,높이 2m 이상의 작업발판 끝이나 개구부 부근에서 작업 중 추락재해가 발생하였다면 이를 예방할 수 있는 조치 사 항으로서 적당하지 않는 것은?,text_only,O,방호울이나 안전난간을 설치하여야 한다.,개구부에 덮개를 설치하고 고정하여야 한다.,안전방망을 치거나 안전대를 착용하도록 한다.,승강 설비를 설치하도록 한다.,4,,안전보건규칙,Claude Sonnet 4,282,30,9,65.22,130.79,2.84,7862,1078,8940,중간,4,True,4
산업안전기사,2006,3,안전관리론,5,불안전한 행동을 예방하기 위하여 수정해야 할 조건들중 시간의 소요가 짧은 것부터 길게 나타내는 순서로 올바른 것은?,text_only,,집단행위 개인행위 태도 - 지식,개인행위 태도 지식 - 집단행위,태도 - 지식 집단행위 - 개인행위,지식 태도 개인행위 집단행위,4,,,Claude Sonnet 4,282,30,10,63.83,135.01,2.87,8059,1178,9237,중간,N/A,False,"불안전한 행동을 예방하기 위한 조건들의 수정 소요시간을 분석해보겠습니다.

- **지식**: 교육이나 훈련을 통해 비교적 빠르게 습득 가능
- **태도**: 지식을 바탕으로 형성되지만 개"
산업안전기사,2006,3,인간공학 및 시스템안전공학,26,시스템안전 프로그램의 목표사항 중 보증할 필요가 없는 것은?,text_only,,시스템의 목표 및 필요사항과 모순되지 않는 안전성의 시스템 설계에 의한 구체화,"신재료 및 신제조, 시험, 기술의 채용 및 사용에 따른위험의 최소화",유사한 시스템 프로그램에 의하여 작성된 과거 안전성 데이터의 고찰 및 이용,시스템의 사고조사에 관한 구체적 기준,4,,,Claude Sonnet 4,282,31,10,64.58,137.32,2.86,8298,1183,9481,중간,4,True,4
산업안전기사,2006,3,기계위험방지기술,44,다음 중 셰이퍼(Shaper)의 안전장치가 아닌 것은?,text_only,,방책,받이,칸막이,시건장치,4,,,Claude Sonnet 4,282,31,10,63.27,139.71,2.85,8405,1188,9593,중간,3,False,3
산업안전기사,2006,3,화학설비위험방지기술,97,다음 중 금수성 물질이 아닌 것은?,text_only,,나트륨,알킬알루미늄,칼륨,니트로글리세린,4,,,Claude Sonnet 4,282,32,10,64.0,142.24,2.84,8512,1193,9705,중간,4,True,4
산업안전기사,2007,1,안전관리론,3,다음 중 착오 요인과 관계가 먼 것은?,text_only,,동기부여의 부족,정보 부족,정서적 불안정,자기합리화,1,,,Claude Sonnet 4,282,32,10,62.75,144.37,2.83,8623,1198,9821,중간,4,False,4
산업안전기사,2007,1,기계위험방지기술,58,산소-아세틸렌 가스용접에 의해 발생되는 재해와 거리가 가장 먼 것은?,text_only,,화재,폭발,가스중독,안염,4,,,Claude Sonnet 4,282,32,10,61.54,146.51,2.82,8739,1203,9942,중간,3,False,3
산업안전기사,2007,1,전기위험방지기술,78,전선로를 개로한 후에도 잔류 전하에 의한 감전재해를 방지하기 위하여 방전을 요하는 것은?,text_only,*,나선의 가공 송배선 선로,전열회로,전동기에 연결된 전선로,개로한 전선로가 전력케이블로 된 것,4,,,Claude Sonnet 4,282,33,10,62.26,148.88,2.81,8901,1208,10109,중간,4,True,4
산업안전기사,2007,1,화학설비위험방지기술,87,다음 연소한계에 대한 설명으로 옳은 것은?,text_only,,연소하한값은 온도의 증가와 함께 증가한다.,연소상한값은 온도의 증가와 함께 증가한다.,연소하한값은 저온에서는 약간 증가하나 고온에서는 일 정하다.,연소한계는 온도에 관계없이 일정하다.,2,,,Claude Sonnet 4,282,34,10,62.96,151.14,2.8,9088,1213,10301,중간,2,True,2
산업안전기사,2007,1,화학설비위험방지기술,108,구조물 해체작업시 해체계획에 포함되지 않는 것은?,text_only,,사업장 내 연락방법,악천후시 작업계획,해체방법 및 해체순서 도면,"가설설비, 방호설비, 환기설비 등의 방법",2,,,Claude Sonnet 4,282,35,10,63.64,153.2,2.79,9234,1218,10452,중간,2,True,2
산업안전기사,2007,2,안전관리론,12,종합재해지수(FSI)에 대한 설명으로 틀린 것은?,text_only,,강도율과 도수율의 기하평균이다.,강도율을 도수율로 나눈 값의 제곱근이다.,어떤 집단의 안전성적을 비교하는 수단으로 사용된다.,재해의 빈도와 상해정도의 강약을 종합하여 나타낸다.,2,,,Claude Sonnet 4,282,36,10,64.29,155.99,2.79,9425,1223,10648,중간,2,True,2
산업안전기사,2007,2,인간공학 및 시스템안전공학,23,"외부로부터 별도의 반응을 요하는 여러 가지의 자극이 주어졌을 때 인간이 반응하는데 소요되는 시간을 선택반응 시간이라고 한다. 자극의 수를 N이라 할 때 다음 중 선택 반응 시간 T와의 관계식으로 가장 적절하게 표한한 것은? (단, a, b는 관련 동작 유형에 관계된 실험 상수이다)",text_only,,$\\text{T}=(a+b)\\cdot N$,$\\text{T}=a\\cdot N!+b$,$\\text{T}=a+b\\cdot e^{N}$,$\\text{T}=a+b\\cdot \\log_{2}N$,4,,,Claude Sonnet 4,282,36,11,63.16,159.7,2.8,9712,1323,11035,중간,N/A,False,"이 문제는 심리학에서 잘 알려진 **Hick-Hyman 법칙(Hick's Law)**에 관한 것입니다.

Hick-Hyman 법칙은 선택반응시간과 자극의 수 사이의 관계를 나타내는 법칙으로, 다음과"
산업안전기사,2007,2,전기위험방지기술,76,국내 전기설비의 방폭구조의 기호와 기호의 의미가 서로 맞지 않는 것은?,text_only,,본질안전방폭구조: i,내압방폭구조:s,유입방폭구조: o,안전증방폭구조: e,2,,,Claude Sonnet 4,282,37,11,63.79,161.84,2.79,9856,1328,11184,중간,2,True,2
산업안전기사,2007,3,인간공학 및 시스템안전공학,39,반경이 15cm 인 조종구(ball control)를 50° 움직일 때 커서(cursor)는 2cm 이동한다. 이러한 선형표시장치의 회전형 제어장치의 C/R비는 약 얼마인가?,text_only,,5.14,6.54,7.64,9.65,2,,,Claude Sonnet 4,282,37,12,62.71,165.1,2.8,10011,1428,11439,중간,N/A,False,"이 문제를 단계별로 해결해보겠습니다.

주어진 정보:
- 조종구 반경: 15cm
- 조종구 회전각: 50°
- 커서 이동거리: 2cm

C/R비(Control/Response ratio)를 구하기 위해서는 제어장치의 움"
산업안전기사,2007,3,기계위험방지기술,49,보일러의 폭발사고 예방을 위한 장치가 아닌 것은?,text_only,,압력방출장치,압력제한스위치,언로드밸브,고저수위조절장치,3,,,Claude Sonnet 4,282,38,12,63.33,167.89,2.8,10131,1433,11564,중간,3,True,3
산업안전기사,2007,3,건설안전기술,120,터널공사 작업 전 시공계획을 작성할 때 시공계획에 반드시 포함되어야할 사항이 아닌 것은?,text_only,O,굴착의 방법,터널지보공 및 복공의 시공방법과 용수의 처리방법,환기 및 조명시설을 하는 때에는 그 방법,긴급 통신설비 설치방법,4,,,Claude Sonnet 4,282,39,12,63.93,170.14,2.79,10313,1438,11751,중간,4,True,4
산업안전기사,2008,1,안전관리론,8,모랄 서베이의 방법 중 태도조사법에 해당하지 않는 것은?,text_only,,질문지법,면접법,관찰법,집단토의법,3,,,Claude Sonnet 4,282,40,12,64.52,196.5,3.17,10425,1443,11868,중간,3,True,3
산업안전기사,2008,1,인간공학 및 시스템안전공학,40,다음 중 고온에서의 생리적 반응으로 볼 수 없는 것은?,text_only,,근육의 이완,체표면적의 증가,피부혈관의 확장,화학적 대사작용의 증가,4,,,Claude Sonnet 4,282,41,12,65.08,198.68,3.15,10555,1448,12003,중간,4,True,4
산업안전기사,2008,1,화학설비위험방지기술,90,다음 중 상온에서 물과 격렬히 반응하여 수소를 발생시키는 물질은?,text_only,,Ti,K,Fe,Ag,2,,,Claude Sonnet 4,282,42,12,65.62,202.28,3.16,10657,1453,12110,중간,2,True,2
산업안전기사,2008,1,건설안전기술,101,다음 기계 중 양중기에 포함되지 않는 것은?,text_only,,리프트,곤돌라,크레인,클램셸,4,,,Claude Sonnet 4,282,42,12,64.62,204.54,3.15,10760,1458,12218,중간,2,False,2
